movieId,title,genres,rating
1,Toy Story (1995),Adventure,5
2,Jumanji (1995),Adventure,3.5
3,Grumpier Old Men (1995),Comedy,5
4,Waiting to Exhale (1995),Comedy,5
5,Father of the Bride Part II (1995),Comedy,3.5
6,Heat (1995),Action,4
7,Sabrina (1995),Comedy,3.5
8,Tom and Huck (1995),Adventure,3.5
9,Sudden Death (1995),Action,5
10,GoldenEye (1995),Action,4
11,"American President, The (1995)",Comedy,3.5
12,Dracula: Dead and Loving It (1995),Comedy,4
13,Balto (1995),Adventure,2.5
14,Nixon (1995),Drama,2.5
15,Cutthroat Island (1995),Action,2.5
16,Casino (1995),Crime,3.5
17,Sense and Sensibility (1995),Drama,4.5
18,Four Rooms (1995),Comedy,4
19,Ace Ventura: When Nature Calls (1995),Comedy,5
20,Money Train (1995),Action,5
21,Get Shorty (1995),Comedy,4.5
22,Copycat (1995),Crime,4
23,Assassins (1995),Action,5
24,Powder (1995),Drama,5
25,Leaving Las Vegas (1995),Drama,5
26,Othello (1995),Drama,3
27,Now and Then (1995),Children,5
28,Persuasion (1995),Drama,3
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure,4
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime,4.5
31,Dangerous Minds (1995),Drama,4
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery,0.5
33,Wings of Courage (1995),Adventure,2
34,Babe (1995),Children,5
35,Carrington (1995),Drama,4
36,Dead Man Walking (1995),Crime,3
37,Across the Sea of Time (1995),Documentary,4
38,It Takes Two (1995),Children,5
39,Clueless (1995),Comedy,4.5
40,"Cry, the Beloved Country (1995)",Drama,4
41,Richard III (1995),Drama,3.5
42,Dead Presidents (1995),Action,5
43,Restoration (1995),Drama,3.5
44,Mortal Kombat (1995),Action,4
45,To Die For (1995),Comedy,4.5
46,How to Make an American Quilt (1995),Drama,2
47,Seven (a.k.a. Se7en) (1995),Mystery,3.5
48,Pocahontas (1995),Animation,3.5
49,When Night Is Falling (1995),Drama,5
50,"Usual Suspects, The (1995)",Crime,4
51,Guardian Angel (1994),Action,2.5
52,Mighty Aphrodite (1995),Comedy,3
53,Lamerica (1994),Adventure,2.5
54,"Big Green, The (1995)",Children,2.5
55,Georgia (1995),Drama,4.5
56,Kids of the Round Table (1995),Adventure,3.5
57,Home for the Holidays (1995),Drama,5
58,"Postman, The (Postino, Il) (1994)",Comedy,5
59,"Confessional, The (Confessionnal, Le) (1995)",Drama,4
60,"Indian in the Cupboard, The (1995)",Adventure,3.5
61,Eye for an Eye (1996),Drama,1
62,Mr. Holland's Opus (1995),Drama,3.5
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,4
64,Two if by Sea (1996),Comedy,3
65,Bio-Dome (1996),Comedy,4
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action,3
67,Two Bits (1995),Drama,4.5
68,French Twist (Gazon maudit) (1995),Comedy,3
69,Friday (1995),Comedy,3.5
70,From Dusk Till Dawn (1996),Action,5
71,Fair Game (1995),Action,3.5
72,Kicking and Screaming (1995),Comedy,0.5
73,"Misérables, Les (1995)",Drama,5
74,Bed of Roses (1996),Drama,4
75,Big Bully (1996),Comedy,4.5
76,Screamers (1995),Action,4
77,Nico Icon (1995),Documentary,5
78,"Crossing Guard, The (1995)",Action,0.5
79,"Juror, The (1996)",Drama,1
80,"White Balloon, The (Badkonake sefid) (1995)",Children,5
81,Things to Do in Denver When You're Dead (1995),Crime,5
82,Antonia's Line (Antonia) (1995),Comedy,4.5
83,Once Upon a Time... When We Were Colored (1995),Drama,4.5
84,Last Summer in the Hamptons (1995),Comedy,4.5
85,Angels and Insects (1995),Drama,1
86,White Squall (1996),Action,5
87,Dunston Checks In (1996),Children,2
88,Black Sheep (1996),Comedy,4
89,Nick of Time (1995),Action,3.5
90,The Journey of August King (1995),Drama,5
92,Mary Reilly (1996),Drama,4.5
93,Vampire in Brooklyn (1995),Comedy,2
94,Beautiful Girls (1996),Comedy,2
95,Broken Arrow (1996),Action,4
96,In the Bleak Midwinter (1995),Comedy,3
97,"Hate (Haine, La) (1995)",Crime,4.5
98,Shopping (1994),Action,3.5
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,4
100,City Hall (1996),Drama,4.5
